Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,France,FRA,EU Nationally Determined Contribution – First NDC/INDC (2015) [France],2015,,Framework,"As an EU member state, France's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/LV-03-06-EU%20INDC.pdf
State of CDR (Edition 3) - Policymaking and governance,France,FRA,EU Updated Nationally Determined Contribution (2020) [France],2020,,Framework,"As an EU member state, France's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf
State of CDR (Edition 3) - Policymaking and governance,France,FRA,EU Nationally Determined Contribution – Resubmission (2023) [France],2023,,Framework,"As an EU member state, France's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2023-06/EU%20NDC%202023%20-%20Resubmission.pdf
State of CDR (Edition 3) - Policymaking and governance,France,FRA,EU Nationally Determined Contribution 2035 [France],2025,,Framework,"As an EU member state, France's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,66.25-72.5,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,National Mission for a Green India (Green India Mission) – Revised Mission Document,2014,2025,Framework,Enhances forest and tree cover on 10 million hectares and contributes to India's NDC objective of creating an additional 2.5–3 GtCO₂-equivalent carbon sinks by 2030.,Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry; Peatland and coastal wetland restoration",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://moef.gov.in/uploads/2017/08/GIM_Mission-Document-1.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,Carbon Credit Trading Scheme (CCTS),2023,,Instrument,Establishes India's national compliance carbon market framework under the Energy Conservation Act; currently covers industrial sector emissions reductions; CDR/removals not yet eligible under current rules.,Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration,,,,,,https://beeindia.gov.in/sites/default/files/CCTS.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,Compensatory Afforestation Fund Act 2016 (CAMPA) and Rules 2018,2016,2018,Instrument,"Establishes legally mandated national and state funds financing afforestation and ecosystem restoration as compensation for forest land diversion, substantially increasing forest carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Supply,Economic instrument,capital_subsidy; operating_subsidy; regulatory_safeguard,,,,,,https://www.indiacode.nic.in/bitstream/123456789/2151/1/A2016-38.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,India's Long-Term Low-Carbon Development Strategy (LT-LEDS),2022,,Framework,"Outlines India's pathway to net-zero emissions by 2070, including enhanced forest sinks, sustainable land management and potential future engineered removals (BECCS, DACCS).",Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Other,target; Other,2070,0,net zero emissions,Emissions,No,https://unfccc.int/sites/default/files/resource/India_LTLEDS.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,CCUS Policy Framework and Deployment Mechanism (NITI Aayog),2022,,Framework,"Advisory report proposing a national CCUS framework including infrastructure, incentives, MRV and regulatory design; supports future engineered CDR deployment including BECCS and DACCS.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS),Cross-cutting,Other,rd_d_funding; Other,,,,,,https://www.niti.gov.in/sites/default/files/2022-12/CCUS-Report.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,"India's Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,Commits to creating an additional 2.5–3 GtCO₂-equivalent carbon sink through forest and tree cover by 2030; also targets 50% cumulative electric power from non-fossil sources by 2030.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,2.5-3,GtCO₂e sinks,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-08/India%20Updated%20First%20Nationally%20Determined%20Contrib.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,National Action Plan on Climate Change (NAPCC),2008,,Framework,"India's overarching national climate framework comprising eight missions including the Green India Mission and National Mission for Sustainable Agriculture, which explicitly target forest carbon sinks and soil carbon sequestration.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Agroforestry",Cross-cutting,Other,Other,,,,,,https://moef.gov.in/wp-content/uploads/2018/04/Pg01-52.pdf
State of CDR (Edition 3) - Policymaking and governance,India,IND,India's Updated First Nationally Determined Contribution (2022),2022,,Framework,India's 2022 updated NDC targets 2.5–3 GtCO₂e of additional carbon sinks through forest and tree cover by 2030 and 50% non-fossil electricity capacity.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,2.5-3,GtCO₂e sinks,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-08/India%20Updated%20First%20Nationally%20Determined%20Contribution%202022-2030.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,REDD+ National Strategy 2021–2030,2022,,Framework,"National REDD+ strategy for 2021–2030 supporting forest conservation, rehabilitation, peatland restoration, and other land-based measures that enhance or preserve carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Other,Other,,,,,,https://redd.unfccc.int/files/indonesia_redd__national_strategy_2021-2030.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Minister of Energy and Mineral Resources Regulation No. 2/2023 on CCUS in Upstream Oil and Gas,2023,,Instrument,"Establishes regulatory framework for CCUS implementation in upstream oil and gas, including storage, monitoring and verification, enabling future engineered removals infrastructure.",Novel CDR; Enabling infrastructure,CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://climate-laws.org/document/minister-of-energy-and-mineral-resources-regulation-no-2-of-2023-on-carbon-capture-utilisation-and-storage-in-oil-and-gas_3c82
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,UNCCD Land Degradation Neutrality National Report 2022,2015,2022,Framework,"Defines land-restoration and ecosystem-rehabilitation priorities relevant to land-based carbon sequestration, primarily framed under land degradation neutrality.",Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry",Cross-cutting,Other,target,2030,Land Degradation Neutrality,qualitative target,Emissions,No,https://www.unccd.int/sites/default/files/national-reports/2022/IDN/UNCCD%20SO1%20Report%202022%20IDN.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia's FOLU Net Sink 2030 – Operational Plan (MoEF Decree SK.168/MENLHK/PKTL/PLA.1/2/2022),2022,,Framework,"Operationalises Indonesia's FOLU Net Sink 2030 agenda across forests, peatlands and mangroves, targeting a net sink of −140 MtCO₂e from the FOLU sector by 2030.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Other,target,2030,-140,MtCO₂e net FOLU sector emissions,Emissions,Yes,https://planologi.kehutanan.go.id/assets/img/publication/BUKU_RENOPS_FOLU_NETSINK_2030_(English).pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Strategic Plan of the Ministry of Environment and Forestry 2020–2024,2020,,Framework,"Defines ministry priorities for reducing deforestation, restoring peatlands and improving forest governance, with indirect support for land-based removals.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/ins213370.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,MoEF Regulation No. 21/2022 on Procedures for Carbon Economic Value Implementation,2022,,Instrument,"MoEF implementing regulation for Presidential Regulation No. 98/2021, establishing carbon trading procedures, offsetting rules and recognition of carbon units including from forestry and other land-use sectors.",Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration; crediting_mechanism; mrv_standard,,,,,,https://climate-laws.org/document/regulation-212022-on-guidelines-for-implementing-the-carbon-economic-value-a200
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,OJK Regulation No. 14/2023 on Carbon Trading through Carbon Exchange,2023,,Instrument,"Establishes market-operational rules for Indonesia's carbon exchange (IDXCarbon), covering verification, trading procedures and governance for carbon units in both compliance and voluntary markets.",Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://climate-laws.org/document/ojk-regulation-no-14-on-carbon-trading-ojk-14-2023_83dc
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Forestry Long-Term Development Plan 2006–2025,2006,,Framework,Long-term forestry planning framework including reforestation and forest rehabilitation measures relevant to land-based carbon removals.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,http://extwprlegs1.fao.org/docs/pdf/ins158781.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia Long-Term Strategy for Low Carbon and Climate Resilience 2050 (LTS-LCCR 2050),2021,,Framework,"Indonesia's long-term low-emission development strategy outlining pathways to net zero by 2060 or sooner, including enhanced forest sinks, peatland restoration and potential future BECCS.",Multiple,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Bioenergy with carbon capture and storage (BECCS)",Cross-cutting,Other,target,2060,0,net GHG emissions,Emissions,No,https://unfccc.int/sites/default/files/resource/Indonesia_LTS-LCCR_2021.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Government Regulation No. 57/2016 on Peatland Protection and Management,2016,,Framework,Provides binding peatland protection framework supporting maintenance and enhancement of peat carbon stocks through restrictions on drainage and land conversion.,Conventional CDR,Peatland and coastal wetland restoration,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://climate-laws.org/document/government-regulation-no-57-2016-on-peat-ecosystem-protection-and-management_d5e3
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia First Nationally Determined Contribution (2016),2016,,Framework,"Indonesia's 2016 First NDC targets 29% below BAU by 2030 (unconditional; 41% conditional), with FOLU sector contributing the majority of mitigation through forest conservation and land restoration.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,29,% below BAU (unconditional; 41% conditional),Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/First%20NDC%20Indonesia_submitted%20to%20UNFCCC%20Set_November%20%202016.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia Enhanced Nationally Determined Contribution (2021),2021,,Framework,Indonesia's 2021 enhanced NDC maintains the 29% unconditional target with strengthened FOLU and peatland restoration commitments.,Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,29,% below BAU (unconditional; 41% conditional),Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/Indonesia%20Updated%20NDC%202021.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia Updated Enhanced Nationally Determined Contribution (2022),2022,,Framework,Indonesia's 2022 updated NDC raises the unconditional target to 31.89% below BAU by 2030 with stronger FOLU sector contributions.,Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,31.89,% below BAU (unconditional; 43.2% conditional),Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-09/Updated%20NDC%20Indonesia%202022%20-%20Updated%20Enhanced%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,Indonesia Second Nationally Determined Contribution (2025),2025,,Framework,"Indonesia's Second NDC submitted October 2025, maintaining land-use and forest-sector sink enhancement via the FOLU Net Sink 2030 target; economy-wide reduction of 31.89% below BAU unconditionally, 43.2% conditionally.",Multiple,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,31.89,% below BAU (unconditional; 43.2% conditional),Emissions,No,https://unfccc.int/sites/default/files/2025-10/Indonesia_Second%20NDC_2025.10.24.pdf
State of CDR (Edition 3) - Policymaking and governance,Indonesia,IDN,National Action Programme to Combat Land Degradation (NAP-CLD),2002,2025,Framework,"Supports land rehabilitation, afforestation and agroforestry measures relevant to carbon sequestration, primarily framed under land degradation policy.",Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry",Cross-cutting,Other,Other,,,,,,https://www.unccd.int/documents/indonesia-national-action-programme
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,National Forestry Strategy (Strategia Forestale Nazionale),2023,,Framework,"Advances afforestation, reforestation and sustainable forest management, supporting enhancement of forest carbon sinks and agroforestry practices.",Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry",Supply,Other,Other,,,,,,https://www.masaf.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/15339
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,Integrated National Energy and Climate Plan (NECP/PNIEC) 2024,2024,,Framework,"Defines Italy's pathway to meet EU ESR and LULUCF targets, including land sinks, CCUS enabling infrastructure (Ravenna hub), and alignment with Italy's updated climate targets for 2030.",Multiple,Multiple,Cross-cutting,Other,target,2030,55,% net GHG reduction below 1990 (EU target),Emissions,Yes,https://commission.europa.eu/publications/italy-final-updated-necp-2021-2030-submitted-2024_en
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,National Forest Accounting Plan (Piano Nazionale Forestale) and Voluntary Carbon Registry,2018,2019,Framework,Defines Italy's forest reference level for EU LULUCF accounting (2021–2025 and 2026–2030 periods) and provides basis for a voluntary carbon crediting registry for agro-forestry sector.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Information instrument,mrv_standard,,,,,,https://www.mase.gov.it/portale/web/guest/nfap-italian-national-forestry-accounting-plan
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,"National Climate Adaptation Plan (Piano Nazionale di Adattamento ai Cambiamenti Climatici, PNACC)",2024,,Framework,Includes measures to enhance soil and biomass carbon stocks through ecosystem restoration and land management as part of climate adaptation strategy.,Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Other,Other,,,,,,https://www.mase.gov.it/pagina/piano-nazionale-di-adattamento-ai-cambiamenti-climatici-pnacc
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,"Long-Term Strategy for Reducing Greenhouse Gas Emissions (Strategia Italiana di Lungo Termine, I-LTS)",2021,,Framework,"Italy's long-term decarbonisation strategy submitted to EU Commission in January 2021; outlines pathway to net-zero by 2050 including land sinks (20–40 MtCO₂/yr) and potential engineered removals (CCS, BECCS, DAC).",Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Other,target,2050,0,net GHG emissions,Emissions,No,https://climate-laws.org/document/long-term-strategy-for-reducing-greenhouse-gas-emissions-lts_3ffc
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,"Law Decree 181/2023 (Energy Decree), converted by Law 11/2024",2023,2024,Instrument,Streamlines permitting and regulatory framework for CCS infrastructure including transport and offshore geological storage; also amends D.Lgs. 162/2011.,Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage,Supply,Regulatory instrument,regulatory_safeguard,,,,,,https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2023-12-09&atto.codiceRedazionale=23G00195&tipoDettaglio=originario
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,Legislative Decree 162/2011 – Transposition of EU CCS Directive 2009/31/CE,2011,2023; 2024,Instrument,"Core legal framework for CO₂ geological storage in Italy: defines permitting, monitoring, liability and regulatory requirements; amended by DL 181/2023 to streamline permitting for storage under 100 Kt.",Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2011-10-04&atto.codiceRedazionale=011G0207&tipoDettaglio=singolavigenza&classica=true&dataVigenza=13/06/2024
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,EU Nationally Determined Contribution – First NDC/INDC (2015) [Italy],2015,,Framework,"As an EU member state, Italy's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/LV-03-06-EU%20INDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,EU Updated Nationally Determined Contribution (2020) [Italy],2020,,Framework,"As an EU member state, Italy's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,EU Nationally Determined Contribution – Resubmission (2023) [Italy],2023,,Framework,"As an EU member state, Italy's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2023-06/EU%20NDC%202023%20-%20Resubmission.pdf
State of CDR (Edition 3) - Policymaking and governance,Italy,ITA,EU Nationally Determined Contribution 2035 [Italy],2025,,Framework,"As an EU member state, Italy's climate commitments are anchored in the EU NDC framework, which includes land-use sinks and emerging engineered CDR pathways.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,66.25-72.5,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Joint Crediting Mechanism (JCM),2013,2025,Instrument,Bilateral crediting mechanism generating internationally transferred mitigation outcomes toward Japan's NDC; includes emerging removal methodologies across partner countries.,Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Peatland and coastal wetland restoration",Demand,Regulatory instrument,crediting_mechanism; mrv_standard,2030,100,MtCO₂ cumulative reductions/removals,Emissions,,https://www.jcm.go.jp/
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,METI Study Group: Future Directions for Negative Emissions Technologies (NETs),2023,,Framework,"Advisory document compiling recommendations on market design for carbon credits and removal credits, including roadmap for domestic CDR market development.",Multiple,Multiple,Cross-cutting,Information instrument,Other,,,,,,https://www.meti.go.jp/english/press/2023/0628_002.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,GX-ETS (Green Transformation Emissions Trading System) / GX League,2023,2025,Instrument,Japan's GX League voluntary ETS (from FY2023) transitioning to mandatory full-scale operation from FY2026 under the GX Promotion Act; eligible carbon credits include J-Credits and JCM credits covering some removals.,Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Peatland and coastal wetland restoration",Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://gx-league.go.jp/en/
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Act on Promotion of Global Warming Countermeasures (温暖化対策推進法),1998,2025,Framework,Core climate law requiring the national Plan for Global Warming Countermeasures; provides legal framework for Japan's pathway to net zero by 2050; 2024 amendment strengthened JCM implementation and regional decarbonisation provisions.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2050,0,net GHG emissions,Emissions,Yes,https://www.japaneselawtranslation.go.jp/en/laws/view/4479/en
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,J-Credit Scheme,2013,2025,Instrument,Government-certified domestic crediting system for quantified emission reductions and removals including land-based and selected engineered methodologies; credits eligible for GX-ETS compliance.,Multiple,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Biochar soil amendment; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Demand,Regulatory instrument,crediting_mechanism; mrv_standard,,,,,,https://japancredit.go.jp/english/
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Green Growth Strategy through Achieving Carbon Neutrality in 2050,2020,2021,Framework,"Government industrial-policy framework for achieving carbon neutrality by 2050, identifying roles for CDR and carbon recycling technologies across sectors including CCUS and negative emissions.",Multiple,Multiple,Cross-cutting,Other,target,2050,0,net GHG emissions,Emissions,No,https://www.meti.go.jp/english/policy/energy_environment/global_warming/ggs2050/index.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Basic Plan for Forest and Forestry (森林・林業基本計画),2021,,Framework,"Cabinet-approved national forest policy framework promoting forest management, afforestation and long-lived wood use; includes forest-stock enhancement targets contributing to Japan's LULUCF carbon sink.",Conventional CDR,"Afforestation, reforestation, forest management; Durable wood products",Supply,Other,Other,,,,,,https://www.maff.go.jp/e/policies/forestry/
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,"Plan for Global Warming Countermeasures (地球温暖化対策計画, 2025 edition)",2025,,Framework,Cabinet-approved national climate implementation plan (February 2025); sets sector-by-sector mitigation pathways including LULUCF sink contributions toward Japan's 2035 (60%) and 2040 (73%) NDC targets.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Multiple",Cross-cutting,Regulatory instrument,target,2035; 2040,60; 73,% below FY2013 levels,Emissions,No,https://www.env.go.jp/content/000338677.pdf
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Act on Carbon Dioxide Storage Businesses (CCS Business Act),2024,,Instrument,"Establishes licensing system, storage rights, safety regulations and monitoring requirements for CCS businesses in Japan; enacted May 2024, entered into force August 2024.",Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.meti.go.jp/english/press/2024/0213_003.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Green Innovation Fund (グリーンイノベーション基金),2021,2025,Instrument,"2 trillion yen fund supporting R&D, demonstration and social implementation of decarbonisation technologies including CCUS, BECCS and potential novel CDR methods over 10 years.",Novel CDR; Enabling infrastructure,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); CO₂ geological storage,Supply,Economic instrument,rd_d_funding,,,,,,https://www.meti.go.jp/english/policy/energy_environment/global_warming/gifund/index.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,CCS Long-Term Roadmap (CCS長期ロードマップ),2023,,Framework,National roadmap for scaling CCS; targets commercial deployment by 2030 with 6–12 MtCO₂/year storage and 120–240 MtCO₂/year by 2050; enabling framework for future BECCS/DACCS deployment.,Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage; Bioenergy with carbon capture and storage (BECCS),Supply,Other,target,2030; 2050,6-12; 120-240,MtCO₂/year storage capacity,CO₂ storage,No,https://www.enecho.meti.go.jp/en/category/special/article/detail_201.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Direct Payments for Environmentally Friendly Agriculture (環境保全型農業直接支払),2011,2024,Instrument,Provides direct payments to farmers for environmental practices including cover cropping and other soil carbon-enhancing methods.,Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Economic instrument,operating_subsidy,,,,,,https://www.maff.go.jp/e/policies/env/sustainagri/directpay.html
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,"Japan's Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,"Japan's 2015 INDC targets 26% below FY2013 levels by 2030, with LULUCF contributing ~2.7% of mitigation through forest carbon sinks and wood products.",Conventional CDR,"Afforestation, reforestation, forest management; Durable wood products",Cross-cutting,Regulatory instrument,target,2030,26,% below FY2013 levels,Emissions,No,https://www4.unfccc.int/sites/NDCStaging/Pages/Party.aspx?party=JPN
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Japan's Nationally Determined Contribution (2021) – 46% by 2030,2021,,Framework,"Japan's 2021 enhanced NDC targets 46% below FY2013 by 2030, with forests and wood products maintaining a significant land-based sink contribution.",Conventional CDR,"Afforestation, reforestation, forest management; Durable wood products",Cross-cutting,Regulatory instrument,target,2030,46,% below FY2013 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/Japans_NDC_April%202021.pdf
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Japan's Nationally Determined Contribution 2025 (2035/2040 NDC),2025,,Framework,Japan's active NDC submitted February 2025; targets 60% below FY2013 by FY2035 and 73% by FY2040; LULUCF removals and JCM contributions incorporated in the mitigation pathway.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Multiple",Cross-cutting,Regulatory instrument,target,2035; 2040,60; 73,% below FY2013 levels,Emissions,No,https://unfccc.int/sites/default/files/2025-02/Japans%202035-2040%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Japan,JPN,Japan's Long-Term Strategy under the Paris Agreement (LT-LEDS),2019,,Framework,"Japan's LT-LEDS setting long-term direction toward a decarbonised society, identifying roles for removals and sinks including forest management, BECCS and DAC in the net-zero pathway.",Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Other,target,2050,0,net GHG emissions,Emissions,No,https://www.env.go.jp/en/headline/2406.html
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,Framework Act on Carbon Neutrality and Green Growth for Coping with Climate Crisis,2021,2024,Framework,Korea's core climate law legally enshrining carbon neutrality by 2050 and a minimum 35% GHG reduction below 2018 levels by 2030 (raised to 40% in Enforcement Decree); provides governance structure and legal basis for all climate policies.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030; 2050,40; 0,% below 2018 levels; net zero,Emissions,Yes,https://elaw.klri.re.kr/eng_mobile/viewer.do?hseq=59958&type=part&key=39
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,Carbon Neutrality Vision and Strategy for Industry and Energy,2021,,Framework,"Strategic vision for decarbonising industry and energy sectors, including CCUS and long-term carbon neutrality pathways; indirectly supports future CDR deployment.",Multiple,CO₂ geological storage; Bioenergy with carbon capture and storage (BECCS); Multiple,Cross-cutting,Other,Other,,,,,,https://english.motie.go.kr/en/pc/pressreleases/bbs/bbsView.do?bbs_seq_n=897&bbs_cd_n=2
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,Korea Emissions Trading System (K-ETS),2015,,Instrument,"National cap-and-trade system; allows limited use of offset credits including forestry-based removals, creating partial compliance demand for conventional CDR.",Conventional CDR,"Afforestation, reforestation, forest management",Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://icapcarbonaction.com/en/ets/korea-emissions-trading-system-k-ets
